Country,Temperature C,Temperature F,Location,Date
Algeria,51.3,124.3,,
Botswana,44,111.2,Maun,2016
Burkina Faso,47.2,117,Dori,1984
Chad,47.6,117.7,Faya-Largeau,
Comoros,36,96.8,Hahaya International Airport,2017
Eswatini,47.4,117.3,Lavumisa,NA
Ghana,43.8,110.8,Navrongo,2017
Guinea,NA,NA,"Koundara,Boké Region",2017
Morocco,51.7,125.1,Agadir,1940
Niger,49.5,121.1,Diffa,1978
Nigeria,46.4,115.5,Yola,2010
Soviet Union,36.9,98.4,Le Port,2004
South Africa,NA,NA,"Dunbrody,Eastern Cape",2018
Sudan,49.7,121.5,Dongola,2010
Tunisia,NA,NA,Kebili,1931
Western Sahara,50.7,123.3,Semara,1961
Zambia,42.4,108.3,"Mfuwe,Eastern Province",2010
Antarctica,NA,NA,"Seymour Island,James Ross Island group",2020
Antarctica,18.3,64.9,"Esperanza Base,Trinity Peninsula",2020
Antarctica,7,19.4,,1989
South Pole,12.3,9.9,Amundsen–Scott South Pole Station,2011
Afghanistan,49.9,121.8,Farah,2020
Armenia,43.7,110.7,Meghri,2011
Azerbaijan,46,114.8,"Julfa,Ordubad",NA
Bangladesh,45.1,113.2,Rajshahi,1972
Bhutan,NA,NA,Phuentsholing,1997
Cambodia,42.6,108.7,Preah Vihear,2016
China,50.5,122.9,"Erbao Township,Turpan,Xinjiang",2017
Hong Kong,39,102.2,Wetland Park,2017
Macau,39,102.2,Coloane,2017
India,51,123.8,"Phalodi,Rajasthan",2016
Indonesia,39.5,103.1,"Jatiwangi,Majalengka Regency,West Java,Semarang,Central Java",2020
Iran,NA,NA,Ahvaz,2017
Iraq,53.8,128.8,Basra,2016
Israel,NA,NA,Tirat Zvi,1942
Japan,41.1,106,"Kumagaya,Saitama",2018
Jordan,NA,NA,,2002
Kazakhstan,49.1,120.4,Turkistan,NA
Kuwait,NA,NA,Mitribah,2016
Kyrgyzstan,44,111.2,,NA
Laos,42.3,108.1,Seno,2016
Malaysia,40.1,104.2,Chuping,1998
Maldives,34.9,94.8,Hanimaadhoo,2016
Mongolia,44,111.2,"Khongor,Darkhan-Uul Province",1999
Myanmar,47.2,117,Myinmu,2010
Nepal,46.4,115.5,Ataria,NA
Oman,50.8,123.4,"Buraimi,Sohar,Qurayyat",2017
Pakistan,53.7,128.7,"Mohenjo-Daro,Turbat",2017
Philippines,42.2,108,"Tuguegarao,Cagayan Valley",2012
Qatar,50.4,122.7,Doha,2010
Russia,43.2,109.8,"Chita, Zabaykalsky Krai",NA
Saudi Arabia,52,125.6,Jeddah,2010
Singapore,37,98.6,Tengah,1983
South Korea,41,105.8,"Hongcheon,Gangwon Province",2018
Syria,49.4,120.9,,NA
Taiwan,40.3,104.5,"Tianxiang,Hualien County",2018
Tajikistan,48,118.4,Panji Poyon,NA
Thailand,44.6,112.3,Mae Hong Son,2016
Turkey,49,120.2,"Cizre,Şırnak Province",1961
Turkmenistan,50.1,122.2,"Repetek Biosphere State Reserve,Karakum Desert",1983
United Arab Emirates,52.1,125.8,Al Jazeera Border Gate,2020
Vietnam,43.4,110.1,Huong Khe District,2019
Albania,43.9,111,Tirana,1973
Austria,40.5,104.9,Bad Deutsch-Altenburg,2013
Belarus,38.9,102,Gomel,2010
Belgium,41.8,107.2,"Begijnendijk,Flemish Brabant,[note 5]",2019
Bosnia,46.2,115.2,Mostar,2001
Bulgaria,45.2,113.4,"Sadovo,Plovdiv Province",2016
Croatia,42.8,109,Ploče,1981
Cyprus,45.6,114.1,Nicosia,2010
Czech Republic,40.4,104.7,"Dobřichovice,Prague-West District",2012
Denmark,36.4,97.5,"Holstebro,Midtjylland",1975
Estonia,35.6,96.1,Võru,1992
Finland,37.2,99,"Joensuu Airport,Liperi",2010
France,46,114.8,"Vérargues,Hérault",2019
Germany,42.6,108.7,"Lingen,Lower Saxony,[note 5]",2019
Greece,NA,NA,"Athens,[note 6]",1977
Hungary,41.9,107.4,Kiskunhalas,2007
Iceland,30.5,86.9,Djúpivogur,1939
Ireland,33.3,91.9,"Kilkenny Castle,County Kilkenny",1887
Italy,47,116.6,"Foggia,Apulia,[note 7]",2007
Latvia,37.8,100,Ventspils,2014
Lithuania,37.5,99.5,"Zarasai,Utena County",1994
Luxembourg,40.8,105.4,"Steinsel, Luxembourg,[note 5]",2019
Malta,43.8,110.8,Malta International Airport,1999
Moldova,42.4,108.3,Fălești,2012
Montenegro,44.8,112.6,"Podgorica,Danilovgrad",2007
Netherlands,40.7,105.3,"Gilze en Rijen,[note 5],[note 8]",2019
North Macedonia,45.7,114.3,"Demir Kapija,Demir Kapija",2007
Norway,35.6,96.1,"Nesbyen,Buskerud",1970
Poland,40.2,104.4,"Prószków,[note 9]",2021
Portugal,47.4,117.3,"Amareleja,Beja",2003
Romania,44.5,112.1,"Ion Sion,Brăila County",1951
Russia,45.4,113.7,"Utta,Kalmykia",2010
San Marino,40.3,104.5,Serravalle,2017
Serbia,44.9,112.8,"Smederevska Palanka,Podunavlje",2007
Slovakia,40.3,104.5,Hurbanovo,2007
Slovenia,40.8,105.4,Cerklje ob Krki,2013
Spain,47.3,117.1,"Montoro, Cordoba",2017
Sweden,38,100.4,"Ultuna,Uppsala County,Målilla,Kalmar County",1933
Switzerland,41.5,106.7,"Grono,Moesa District",2003
Ukraine,42,107.6,Luhansk,2010
United Kingdom,38.7,101.7,"Cambridge,Cambridgeshire,[note 5]",2019
Vatican City,40.7,105.3,Vatican City,2017
Anguilla,34.2,93.6,The Valley,2015
Antigua and Barbuda,34.9,94.8,"V. C. Bird International Airport,St. John's",1995
British Virgin Islands,35,95,Terrance B. Lettsome International Airport,2016
Canada,45,113,"Yellow Grass,Saskatchewan,Midale",1937
Cayman Islands,34.9,94.8,"Owen Roberts International Airport,Grand Cayman",2016
Cuba,39.1,102.4,Granma Province,2019
Dominica,35.5,95.9,Canefield Airport,2015
Dominican Republic,43,109.4,Mao,1954
Greenland,30.1,86.2,Ivittuut,2015
Guatemala,NA,NA,"Estanzuela,Zacapa",NA
Martinique,36.5,97.7,Saint-Pierre,2010
Mexico,52,125.6,Mexicali,1995
Panama,40,104,San Francisco,1998
Puerto Rico,NA,NA,Mona Island,1996
United States,NA,NA,"Furnace Creek,Death Valley,California",2013
United States Virgin Islands,NA,NA,"Saint Thomas,Cruz Bay",1994
Australia,NA,NA,"Oodnadatta, South Australia,[note 10]",1960
Marshall Islands,35.6,96.1,Utirik Atoll,2016
New Zealand,42.4,108.3,"Rangiora,Canterbury,Marlborough",1973
Palau,NA,NA,Koror,2018
Samoa,35.3,95.5,Asau,1968
Solomon Islands,36.1,97,"Honiara,Guadalcanal Province",2010
Tonga,35.5,95.9,Niuafoou,2016
Vanuatu,36.2,97.2,Lamap Malekula,2016
Wallis and Futuna,35.8,96.4,Futuna Airport,2016
Argentina,NA,NA,"Rivadavia,Salta Province,[note 11]",2005
Bolivia,46.7,116.1,"Villamontes,Tarija Department",2010
Brazil,44.7,112.5,"Bom Jesus,Piauí",2005
Chile,44.9,112.8,"Quillón,Biobio Region,[note 13]",2017
Colombia,45,113,"Puerto Salgar,Cundinamarca",2015
French Guiana,38,100.4,Saint-Laurent-du-Maroni,2016
Paraguay,45,113,"Pratts Gill,Boquerón Department",2009
Uruguay,44,111.2,"Paysandú,Paysandú Department",1943
Venezuela,43.6,110.5,"Santa Ana de Coro,Falcón",2015
Algeria,13.8,7.2,Mécheria,2005
Burkina Faso,NA,NA,Markoye,2020
Botswana,15,5,Tsabong,NA
Eswatini,6.7,19.9,Big Bend,NA
Ghana,11,51.8,"Kumasi,Tafo",NA
Guinea,2.5,36.5,Bareing,1982
Lesotho,21,5.8,,NA
Morocco,NA,NA,Ifrane,1935
Niger,2.4,27.7,Bilma,1995
Soviet Union,5,23,Gite de Bellecome,1975
South Africa,20.1,4.2,"Buffelsfontein,Molteno,Eastern Cape",2013
Sudan,1,30.2,Zalingei,2020
Antarctica,NA,NA,Vostok Station,1983
,82.5,116.5,Dome A,2020
South Pole,82.8,117,Amundsen–Scott South Pole Station,1982
Afghanistan,52.2,62,Shahrak,2020
Armenia,42,43.6,"Paghakn,Ashocq",1961
Azerbaijan,33,27.4,,NA
Bangladesh,2.6,36.7,"Tetulia Upazila,Panchagarh",2018
China,NA,NA,"Genhe,Inner Mongolia",2009
Hong Kong,6,21.2,Tai Mo Shan,2016
India,33.9,29,"Dras,Jammu and Kashmir",2011
Iran,36,32.8,Saqqez,1972
Israel,14.2,6.4,Merom Golan,2015
Japan,41,41.8,"Asahikawa,Hokkaidō",2002
Jordan,16,3.2,Shoubak,2013
Kazakhstan,57,70.6,Atbasar,NA
Kuwait,4.8,23.4,Salmy,2009
Kyrgyzstan,53.6,64.5,Fergana Valley,NA
Malaysia,7.8,46,Cameron Highlands,1978
Maldives,17.2,63,"Hulhulé Island,Ibrahim Nasir International Airport",1978
Mongolia,55.3,67.5,"Züüngovi,Uvs Province",1976
Myanmar,6,21.2,Hakha,1990
Nepal,NA,NA,Sagarmantha,NA
North Korea,43.6,46.5,Chunggangjin,1933
Pakistan,NA,NA,Skardu,1995
Philippines,6.3,43.3,Baguio,1961
Qatar,1.5,34.7,Abu Samra,2017
Russia,NA,NA,"Verkhoyansk,Oymyakon,Sakha Republic",NA
Saudi Arabia,12,10.4,Turaif,NA
Singapore,19,66.2,Paya Lebar,1989
South Korea,32.6,26.7,Yangpyeong,NA
Syria,23,9.4,Idlib,2020
Taiwan,18.4,1.1,Yushan,1970
Thailand,1.4,29.5,Sakon Nakhon,1974
Turkey,46.4,51.5,"Çaldıran,Van Province",1990
Turkmenistan,36,32.8,Daşoguz Region,NA
United Arab Emirates,5.4,22.3,Jebel Jais,2017
Vietnam,6.1,21,Sa Pa,1974
Albania,25.8,14.4,,NA
Austria,52.6,62.7,Grünloch,1932
Belarus,42.2,44,"Slavnom,Vitsebsk Voblast",1940
Belgium,30.1,22.2,"Lesse,Rochefort",1940
Bosnia,42.5,44.5,"Igman,Sarajevo Canton",1963
Bulgaria,38.3,36.9,Tran,1947
Croatia,34.6,30.3,Gračac,2003
Cyprus,NA,NA,,NA
Czech Republic,42.2,44,Litvínovice,1929
Denmark,31.2,24.2,"Thisted Municipality,North Denmark Region",1982
Estonia,43.5,46.3,"Jõgeva,Jõgeva County",1940
Finland,51.5,60.7,"Kittilä,Lapland",1999
France,41,41.8,"Mouthe,Doubs",1985
Germany,45.9,50.6,"Funtensee,Berchtesgadener Land,Bavaria",2001
Greece,27.8,18,Ptolemaida,1963
Hungary,NA,NA,Görömbölytapolca,1940
Iceland,37.9,36.2,Grímsstaðir,1918
Ireland,19.1,2.4,"Markree Castle,County Sligo",1881
Italy,49.6,57.3,"Busa Fradusta,Pale di San Martino",2013
Latvia,43.2,45.8,Daugavpils,1956
Lithuania,42.9,45.2,"Utena,Utena County",1956
Malta,1.4,34.5,Malta International Airport,1981
Moldova,35.5,31.9,"Brătușeni,Edineț District",1963
Netherlands,27.4,17.3,Winterswijk,1942
North Macedonia,31.5,24.7,"Berovo,Berovo Municipality",1954
Norway,51.4,60.5,"Karasjok,Finnmark",1886
Poland,41,41.8,"Siedlce,Masovian Voivodeship",1940
Portugal,16,3.2,"Penhas da Saúde,Covilhã Municipality,Miranda do Douro",1945
Romania,38.5,37.3,"Bod,Braşov County",1942
European Russia,NA,NA,"Ust' Shchugor,Komi Republic",1978
Serbia,39.8,39.6,"Karajukica Bunari,Zlatibor District",2006
Slovakia,41,41.8,Vígľaš-Pstruša,1929
Slovenia,34.5,30.1,Babno Polje,1956
Spain,NA,NA,"Calamocha,Teruel Province",1963
Sweden,52.6,62.7,"Vuoggatjålme,Lappland",1966
Switzerland,41.8,43.2,La Brévine,1987
Ukraine,41.9,43.4,Luhansk,1935
United Kingdom,27.2,17,"Braemar,Aberdeenshire,Altnaharra,Sutherland",1895
Antigua and Barbuda,16.1,61,"V. C. Bird International Airport,Antigua",NA
Canada,63,81.4,"Snag,Yukon",NA
Cayman Islands,11.1,52,"Owen Roberts International Airport,Grand Cayman",NA
Cuba,0.6,33.1,Mayabeque Province,NA
Dominican Republic,7,19.4,La Vega Province,NA
Greenland,NA,NA,North Ice,NA
Guatemala,11.5,11.3,"Olintepeque,Quetzaltenango Department",NA
Martinique,14.1,57.4,Le Lamentin,1964
Panama,2,35.6,Chiriquí Province,NA
Puerto Rico,NA,NA,"Aibonito,San Sebastian",NA
US Virgin Islands,NA,NA,"Anna's Hope,Saint Croix",NA
Alaska,NA,NA,"Prospect Creek,Alaska",NA
United States,NA,NA,"Rogers Pass,Montana",NA
Argentina,NA,NA,"Sarmiento,Chubut Province",2007
Brazil,14,6.8,"Caçador,Santa Catarina",1952
Colombia,11,12.2,"Páramo de Berlín,Tona,Santander",1974
French Guiana,16.9,62.4,Maripasoula,1964
Paraguay,7.5,18.5,"Pratts Gill,Boquerón Department",2000
Peru,25.2,13.4,"Mazo Cruz,Puno Region",1966
Uruguay,11,12.2,"Melo,Cerro Largo Department",1967
Australia,23,9.4,"Charlotte Pass, New South Wales",1994
Hawaii,11.1,12,"Mauna Kea,Hawaii",1979
New Zealand,NA,NA,"Ranfurly,Central Otago",2003
Samoa,11.1,52,Afiamalu,1971